Code,Title,Description
generalYearlyTurnoverForBidder,General Yearly Turnover For Bidder,Information on Turnover for bidder only applicable to generalYearlyTurnover criterion
generalYearlyTurnoverForJVCA,General Yearly Turnover For JVCA,Information on Turnover for JVCA only applicable to generalYearlyTurnover criterion
financialInformationActualForPreviousYears,Financial Information Actual For Previous Years,Applicable for otherEconomicOrFinancialRequirements criterion
financialInformationProjectedForTheNextTwoYears,Financial Information Projected For The Next Two Years,Applicable for otherEconomicOrFinancialRequirements criterion
setupOfEconomicOperatorGeneral,Setup Of Economic Operator - General,Applicable to setUpOfEconomicOperator criterion
setupOfEconomicOperatorSpecific,Setup Of Economic Operator -Specific,Applicable to setUpOfEconomicOperator criterion
informationOnManagerailStaff,Information On Managerail Staff,Applicable to numberOfManagerialStaff criterion
candidate,Candidate,Applicable to averageAnnualManpower criterion
employer,Employer,Applicable to averageAnnualManpower criterion
educationalQualifications,Educational Qualifications,Applicable to educationalAndProfessionalQualifications criterion
professionalQualifications,Professional Qualifications,Applicable to educationalAndProfessionalQualifications criterion
equipmentCapacity,Equipment Capacity,Applicable to toolsPlantOrTechnicalEquipment criterion
manufacturingCapacity,Manufacturing Capacity,Applicable to toolsPlantOrTechnicalEquipment criterion
forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfBidder,For Works Contracts: Performance Of Works Of The Specified Type Of Bidder,Applicable to performanceOfTheSpecifiedType criterion
forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfBidder,For Supply Contracts: Performance Of Deliveries Of The Specified Type Of Bidder,Applicable to performanceOfTheSpecifiedType criterion
forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfBidder,For Service Contracts: Performance Of Services Of The Specified Type Of Bidder,Applicable to performanceOfTheSpecifiedType criterion
forWorksContractsPerformanceOfWorksOfTheSpecifiedTypeOfJVCA,For Works Contracts: Performance Of Works Of The Specified Type Of JVCA,Applicable to performanceOfTheSpecifiedType criterion
forSupplyContractsPerformanceOfDeliveriesOfTheSpecifiedTypeOfJVCA,For Supply Contracts: Performance Of Deliveries Of The Specified Type Of JVCA,Applicable to performanceOfTheSpecifiedType criterion
forServiceContractsPerformanceOfServicesOfTheSpecifiedTypeOfJVCA,For Service Contracts: Performance Of Services Of The Specified Type Of JVCA,Applicable to performanceOfTheSpecifiedType criterion
